APPEND	Kompletterar innehållet i en fil.
BACKUP	Kopierar en disk.
BEGIN	BEGIN används tillsammans med BEND för att gruppera programsatser som ska köras efter en IF-sats.
BEND	BEND stänger ett block som öppnats med BEGIN.
BLOAD	Läser in en binär fil till en angiven plats i minnet. Används till exempel för att läsa in maskinkodsprogram eller media.
BOOT	Laddar in ett program flaggat som "bootbart" från disk. Om en diskdrive är inkopplad försöker Commodore 128 att "boota" vid uppstart.
BOX	Ritar en rektangel på skärmen.
BSAVE	Sparar innehållet i angivna adresser i RAM till disk. Används till exempel för att spara maskinkodsprogram eller media.
BUMP	Testar om två sprites har kolliderat med varandra.
CATALOG	Listar innehållet på en diskdrive utan att tömma BASIC-minnet. Är synonymt med DIRECTORY.
CHAR	Ritar ett tecken på skärmen
CIRCLE	Ritar en cirkel på skärmen.
COLLECT	Frigör utrymme på en disk som korrupta filer tar upp.
COLLISION	Identifierar sprite-kollisioner eller kollision med ljuspenna och hoppar till önskad programrad om så inträffat.
COLOR	Väljer färg ur färgpaletten att använda som border, bakgrund, grafikfärg eller textfärg. Commodore 128 delar färgpalett med Commodore 64 och VIC-20 när Commodore 128 används i 40-kolumnsläge. I 80-kolumnsläge (som endast kan visa text) har Commodore 128 en annorlunda färgpalett. 
CONCAT	Slår samman två datafiler.
COPY	Kommandot COPY används på system med två diskettstationer för att kopiera en fil från den ena disketten till den andra.
DCLEAR	Rensar alla öppna filer på angiven drive. Man kan även specificera enhetsnummer.
DCLOSE	DCLOSE stänger en fil som varit öppen för läsning eller skrivning.
DEC	Tar en sträng innehållande ett hexadecimalt tal och ger ett decimalt heltal av motsvarande värde. DEC("A") ger 10. Den funktion som konverterar tillbaka till hexadecimal heter HEX$.
DELETE	Kommandot raderar en eller flera rader av BASIC-kod från minnet. Man kan ange ett specifikt radnummer eller ett omfång.
DIRECTORY	Listar innehållet på en diskdrive utan att tömma BASIC-minnet. Är synonymt med CATALOG.
DLOAD	Hämtar ett namngivet BASIC-program från disk (med möjlighet att specificera enhetsnummer och disknummer (i händelse av att enheten är dubbelsidig, som till exempel Commodore 1571). Motsvarar LOAD "filnamn",8,0 på VIC-20/C64.
DO	Startar antingen en evighetsiteration, en 0-till-flera-iteration eller en 1-till-flera-iteration, som stängs med LOOP. Tillsammans med WHILE eller UNTIL är iterationen av 0-till-flera-typ, och ensamt är den antingen en evighetsiteration eller en 1-till-flera-iteration, beroende på vad som följer efter LOOP, om något.
DOPEN	Öppnar en logisk fil av valfri typ (sekventiell, program, o.s.v.) för läsning och/eller skrivning.
DRAW	Ritar en pixel, en linje eller en polygon med valfri färg ur färgpaletten.
DS	Presenterar det senaste DOS-felets nummer.
DS$	Presenterar en beskrivande text om det senaste DOS-felet.
DSAVE	Sparar ett BASIC-program till angiven enhet.
DVERIFY	Jämför BASIC-programmet i minnet med ett BASIC-program i en fil, för att säkerställa att programmet är korrekt lagrat.
ENVELOPE	Definierar karaktären för ett musikinstruments volym.
ER	Ger felkod för senast inträffade fel.
